name,category,isin_cur,expected_cur,symbol,symbol_currency,symbol_type,yahoo_longname,cur_symbol_old,n_cands,status,real_cur,real_type,yahoo_longname2,usable
FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD,AMERICAN,LU0050427557:USD,USD,FJRC.F,FRA,ETF,,FJRC.F,1,SYMBOL_FOUND,EUR,ETF,Fidelity Funds - Latin America Fund,CUR_MISMATCH
FIDELITY GLOBAL INCOME Y MINCOME INC USD,GLOBAL,LU0997587323:USD,USD,0P00011IML,PNK,Fund,,0P0001AMU4,1,SYMBOL_FOUND,USD,MUTUALFUND,Fidelity Global Income A-MInc(G)-USD H,OK
FIDELITY GLOBAL TECHNOLOGY A USD ACC USD,GLOBAL,LU1046421795:USD,USD,,,,,0P0001DIJX.SI,0,NO_SYMBOL,,,,NO_SYMBOL
GOLDMAN SACHS GLOBAL CORE EQUITY PORTFOLIO ACC USD,GLOBAL,LU0280924407:USD,USD,0P0000F5F8,PNK,Fund,,0P0001UZPQ,1,SYMBOL_FOUND,USD,MUTUALFUND,GS Global CORE Eq P Acc USD Snap,OK
GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD,GLOBAL,LU0953791257:USD,USD,0P0000ZT50,PNK,Fund,,0P0000Y642,1,SYMBOL_FOUND,USD,MUTUALFUND,GS EM Debt HC-N Cap USD,OK
GOLDMAN SACHS GLOBAL SENIOR LOANS R HEDGED INC USD,GLOBAL,LU1264170553:USD,USD,0P0001BC7Q,PNK,Fund,,0P0001527M.F,1,SYMBOL_FOUND,USD,MUTUALFUND,GS Gbl SrLoan Lux-N Dis USD (HG i),OK
GOLDMAN SACHS GLOBAL US HIGH DIVIDEND CLASS P AC USD USD,GLOBAL,LU0154844541:USD,USD,LU0154844541-USD.LU,LUX,Fund,,0P0000Y642,1,SYMBOL_FOUND,USD,MUTUALFUND,Gold Sac GSUMBSP C,OK
INVESCO GLOBAL CONSUMER TRENDS A USD USD,GLOBAL,LU0100598878:USD,USD,0P00000AN0,PNK,Fund,,IUGI.F,1,SYMBOL_FOUND,USD,MUTUALFUND,Invesco Glbl Consmr Trnds C USD Acc,OK
INVESCO GLOBAL CONSUMER TRENDS C USD USD,GLOBAL,LU0100598878:USD,USD,0P00000AN0,PNK,Fund,,0P00000AN0,1,SYMBOL_FOUND,USD,MUTUALFUND,Invesco Glbl Consmr Trnds C USD Acc,OK
INVESCO GLOBAL EQUITY FUND C (USD)-ANNUAL DISTRIBUTION USD,GLOBAL,LU1775975466:USD,USD,0P0001DK37,PNK,Fund,,IGET.L,1,SYMBOL_FOUND,USD,MUTUALFUND,Invesco Funds - Invesco Global Small Cap Equity Fund,OK
INVESCO SUSTAINABLE GLOBAL INCOME C HEDGED ACC USD,GLOBAL,LU2401541888:USD,USD,0P0001NY18,PNK,Fund,,,1,SYMBOL_FOUND,USD,MUTUALFUND,Invesco Funds - Invesco Sustainable Allocation Fund,OK
JANUS HENDERSON GLOBAL EQUITY FUND R\$ ACC A2 USD USD,GLOBAL,LU1983259539:USD,USD,0P0001HNBO,PNK,Fund,,0P00000HSG,1,SYMBOL_FOUND,USD,MUTUALFUND,Janus Henderson Hrzn Glb Sus Eq A2 USD,OK
JANUS HENDERSON GLOBAL REAL ESTATE A3Q USD USD,GLOBAL,IE0033534441:USD,USD,F4QR.MU,MUN,ETF,,F4QR.MU,1,SYMBOL_FOUND,EUR,ETF,Janus Henderson Capital Funds plc - Janus Global Real Estate Fund,CUR_MISMATCH
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A3Q USD USD,GLOBAL,LU0209137206:USD,USD,HZ5Y.F,FRA,ETF,,HZ5Y.F,1,SYMBOL_FOUND,EUR,ETF,Janus Henderson Horizon - Global Property Equities Fund,CUR_MISMATCH
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A1 USD USD,GLOBAL,LU0209158467:USD,USD,FGVA.MU,MUN,ETF,,FGVA.MU,1,SYMBOL_FOUND,EUR,ETF,Janus Henderson Horizon - Global Technology Fund,CUR_MISMATCH
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A2 USD USD,GLOBAL,LU0070992663:USD,USD,,,,,0P0000YWFQ.SI,0,NO_SYMBOL,,,,NO_SYMBOL
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND H2 USD USD,GLOBAL,LU0828813369:USD,USD,0P0000YFYK,PNK,Fund,,0P0000YFYK,1,SYMBOL_FOUND,USD,MUTUALFUND,Janus Henderson Hrzn GlbTechLdrs H2USD,OK
JPMORGAN AMERICA EQUITY A USD USD,AMERICAN,LU0129459060:USD,USD,0P00001RDJ,PNK,Fund,,JPJA.F,1,SYMBOL_FOUND,USD,MUTUALFUND,JPM America Equity C acc USD,OK
JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY A ACC USD,GLOBAL,LU1512643799:USD,USD,0P000197NS,PNK,Fund,,0P0001P9BJ,1,SYMBOL_FOUND,USD,MUTUALFUND,JPM Glbl Rsrch Enh Idx Eq X acc USD,OK
JUPITER GLOBAL FUND JUPITER FINANCIAL INNOVATION L USD ACC NAV USD,GLOBAL,LU0262307720:USD,USD,0P00009V34,PNK,Fund,,0P00007W57.L,1,SYMBOL_FOUND,USD,MUTUALFUND,Jupiter Financial Innovt L USD Acc,OK
JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND I USD ACC USD,GLOBAL,IE0031332939:USD,USD,0P00000T47,PNK,Fund,,0P0001339A,1,SYMBOL_FOUND,USD,MUTUALFUND,Jupiter Merian World Equity C USD Acc,OK
JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND L USD ACC USD,GLOBAL,IE0031332939:USD,USD,0P00000T47,PNK,Fund,,0P00013397,1,SYMBOL_FOUND,USD,MUTUALFUND,Jupiter Merian World Equity C USD Acc,OK
MAN GLOBAL INVESTMENT GRADE OPPORTUNITIES I ACC USD,GLOBAL,LU2283350531:USD,USD,0P0001LJBL,PNK,Fund,,0P0001NTQ4.L,1,SYMBOL_FOUND,USD,MUTUALFUND,Manulife GF Invm Grd Pref Scs Inc I Acc,OK
MFS MERIDIAN FUNDS GLOBAL TOTAL RETURN A1 USD CAP USD,GLOBAL,LU0219441499:USD,USD,FHTF.MU,MUN,ETF,,FHTF.MU,1,SYMBOL_FOUND,EUR,ETF,MFS Meridian Funds - Global Total Return Fund,CUR_MISMATCH
MOMENTUM GF HARMONY GLOBAL EQUITY FUND A ACC USD,GLOBAL,LU1508132807:USD,USD,0P0001B8CZ,PNK,Fund,,,1,SYMBOL_FOUND,USD,MUTUALFUND,Harmony Portfolios Asian Growth H USD,OK
MORGAN STANLEY GLOBAL ADVANTAGE A EUR ACC NAV USD,GLOBAL,LU0362496845:USD,USD,0P0000JN46,PNK,Fund,,MSJAX,1,SYMBOL_FOUND,USD,MUTUALFUND,Morgan Stanley Investment Funds - US Advantage Fund C,OK
MORGAN STANLEY GLOBAL ADVANTAGE FUND Z ACC USD,GLOBAL,LU0362496845:USD,USD,0P0000JN46,PNK,Fund,,0P0000CNA5.F,1,SYMBOL_FOUND,USD,MUTUALFUND,Morgan Stanley Investment Funds - US Advantage Fund C,OK
NINETY ONE FD MGRS GLOBAL GOLD A USD ACC USD,GLOBAL,LU2445645695:USD,USD,0P0001OTHY,PNK,Fund,,,1,SYMBOL_FOUND,USD,MUTUALFUND,Ninety One GSF EM Sst Blnd Dbt S Acc USD,OK
NINETY ONE GLOBAL MULTI-ASSET INC A INC-2 USD,GLOBAL,LU1800671676:USD,USD,,,,,0P0000URPG,0,NO_SYMBOL,,,,NO_SYMBOL
NINETY ONE GLOBAL NATURAL RESOURCES C INC USD,GLOBAL,LU0345781503:USD,USD,0P00009X5O,PNK,Fund,,0P0001HDEI,1,SYMBOL_FOUND,USD,MUTUALFUND,Ninety One GSF Glb Ntrl Res C Inc USD,OK
NINETY ONE GLOBAL ST GBL MULTI ASSET INC IX INC USD,GLOBAL,LU1939255615:USD,USD,0P0001GZNL,PNK,Fund,,0P00000R8P,1,SYMBOL_FOUND,USD,MUTUALFUND,Ninety One GSF Global Envir IX Acc USD,OK
